=== game 4: Sligh (us, p1) vs Lions DIB ===
  T18 CombatDamage [our turn] life [3, 9] | 6 options -> PassPriority
  T18 EndOfCombat [our turn] life [3, 9] | 6 options -> PassPriority
  T18 PostcombatMain [our turn] life [3, 9] | 7 options -> PassPriority
  T18 End [our turn] life [3, 9] | 6 options -> PassPriority
  T19 Upkeep [their turn] life [3, 9] | 6 options -> PassPriority
  T19 Draw [their turn] life [3, 9] | 6 options -> PassPriority
  T19 PrecombatMain [their turn] life [3, 9] | 6 options -> PassPriority
  T19 BeginningOfCombat [their turn] life [3, 9] | 6 options -> PassPriority
  T19 DeclareAttackers [their turn] life [3, 9] | 6 options -> PassPriority
  T19 DeclareBlockers [their turn] life [3, 9] | 2 options -> Block Icatian Javelineers with Ironclaw Orcs
  T19 DeclareBlockers [their turn] life [3, 9] | 6 options -> Tap Mountain for mana
  T19 DeclareBlockers [their turn] life [3, 9] | 5 options -> Tap Mountain for mana
  T19 DeclareBlockers [their turn] life [3, 9] | 4 options -> PassPriority
=== result: LOSS after 265 decisions ===
